Variable;Source;Definition;Comment;;;COUNTRY_CODE;Description;;habitat_category;;HABITATCODE;description;;cs_XXXX;definition;;measure_type;;BIOGEOGRAPHICREG;;_datatype;HABITATCODE;
COUNTRY_CODE;PAF;Country code as per Natura2000 sites database;drop-down menu;;;AT;Austria;;woodlands and forests;;1110;Sandbanks which are slightly covered by sea water all the time;;FV;favorable;;one-off;;Boreal;;raw;"The exact code or name of the habitat is explicitely mentioned and associated to the measure description (measure_descrip), either in the table ""List of prioritized measures to be carried out, and estimated costs for these measures"" ""within Natura 2000 sites designated for the targeted habitats and species"" or in the section ""Measures needed to maintain or restore favourable conservation status"".";
habitat_category;PAF;"Name of all natural habitat types or MAES category provided in PAFs (section ""Current status of habitats and species, conservation measures taken until now and their impact so far, remaining pressures and threats"")";drop-down menu;;;BE;Belgium;;marine and coastal water;;1120;Posidonia beds (Posidonion oceanicae);;XX;unknown;;recurring;;Continental;;inferred;An habitat description is provided and matches the description of one of the habitat existing in the country (see PAF), as provided by the Interpretation Manual of EU Habitats.;
HABITATCODE;PAF;"Habitat code  as per Natura 2000 sites - in the PAF the list of habitat codes can be found in the section ""Current status of Annex I habitats"", in a table";drop-down menu;;;BG;Bulgaria;;heathlands and shrubs;;1130;Estuaries;;U1;unfavorable-inadequate;;;;Alpine;;;See the Interpretation Manual of EU Habitats here: https://epflch.sharepoint.com/:b:/r/sites/CDM-CDM-E4S/Documents%20partages/E4S_Shared/09_RESEARCH/00_PROJECTS_TOPDOWN/Biodiversity/Assessing%20the%20impact%20of%20human%20activity%20on%20vegetation/Natura%202000/Interpretation%20Manual%20of%20EU%20Union%20Habitats.pdf?csf=1&web=1&e=aF9wOD;
habitat_descr;Natura 2000 sites;Description of the associated HABITATCODE according to the Natura 2000 site database (based on EU Habitat Directive). ;"Values are automatically generated from the table in columns K-L of tab ""def""";;;CZ;Czechia;;bogs, mires, fens and other wetlands;;1140;Mudflats and sandflats not covered by seawater at low tide;;U2;unfavorable-bad;;;;Mediterranean;;;;
BIOGEOGRAPHICREG;PAF or Article 17 web tool > Biogegraphical assessments at Member State level > Habitats assessment;Biogeographic region the cost of the related habitat is associated. This information should be collected from the PAF of the associated country. When such information is not available and there is only one biogeographic region for the related habitat on the Article 17 web tool, indicate the bio-geographic region provided by the Article 17 web tool. ;drop-down menu;;;DE;Germany;;grasslands;;1150;Coastal lagoons;;;;;;;Steppic;;;;
cs_2018;Article 17 web tool > Biogegraphical assessments at Member State level > Habitats assessment;"The conservation status code indicated in the overall assessment section of the table for period 2013-2018, the country of interest and the habitat category of interest. To retrieve it: 
1) go on https://nature-art17.eionet.europa.eu/article17/habitat/report/
2) select period 2013-2018, the habitat group/category of interst (e.g. ""Forest"" for ""woodlands and forests"" in column B of the data set - tab ""data"") and the country of interest and click ""Filter""
3) find the HABITATCODE of interest in the first column and the associated current conservation status (""Curr. CS"") in the sub column ""Overall assessment""";"drop-down menu. Note that if you cannot find the associated habitat code on the web tool, browse through the other groups - they are generally classified based on the first number of the habitat code, e.g. Costal habitats start with ""1"", ""Rocky habitats"" start with ""8"".";;;DK;Danemark;;other agroecosystems (incl. croplands);;1160;Large shallow inlets and bays;;;;;;;Black Sea;;;;
cs_2006;Article 17 web tool > Biogegraphical assessments at Member State level > Habitats assessment;"The conservation status code indicated in the overall assessment section of the table for period 2001-2006, the country of interest and the habitat category of interest. To retrieve it: 
1) go on https://nature-art17.eionet.europa.eu/article17/habitat/report/
2) select period 2001-2006, the habitat group/category of interst (e.g. ""Forest"" for ""woodlands and forests"" in column B of the data set - tab ""data"") and the country of interest and click ""Filter""
3) find the HABITATCODE of interest in the first column and the associated current conservation status column ""Overall assessment"".";drop-down menu;;;EE;Estonia;;rocky habitats, dunes & sparesely vegetated lands;;1170;Reefs;;;;;;;Marine Black Sea;;;;
paf_year;PAF;Year considered in the PAF;;;;EL;Greece;;freshwater habitats (rivers and lakes);;1180;Submarine structures made by leaking gases;;;;;;;Pannonian;;;;
measure_descrip;PAF;"Description of the measure associated to the HABITATCODE/habitat_descr and to be carried out. This description is indicated in the column ""Name and short description of the measures"" of the table  listing the prioritized measures to be carried out, and estimated costs for these measures  within Natura 2000 sites designated for the targeted habitats and species. ";text;;;ES;Spain;;others (caves, etc.);;1210;Annual vegetation of drift lines;;;;;;;Marine Baltic;;;;
measure_type;PAF;Type of measure, indicating whether the measure is recurring or one-off;drop-down menu;;;FI;Finland;;;;1220;Perennial vegetation of stony banks;;;;;;;Marine Mediterranean;;;;
annual_cost_abs[eur];PAF;Estimated cost in euros (annualised) for the described measure;numeric;;;FR;France;;;;1230;Vegetated sea cliffs of the Atlantic and Baltic Coasts;;;;;;;Atlantic;;;;
target;PAF;Number of units to which the measure is applied;numeric;;;HR;Croatia;;;;1240;Vegetated sea cliffs of the Mediterranean coasts with endemic Limonium spp.;;;;;;;Marine Atlantic;;;;
unit;PAF;Unit associated to the target (i.e. ha, site);text;;;HU;Hungary;;;;1250;Vegetated sea cliffs with endemic flora of the Macaronesian coasts;;;;;;;Marine Macaronesian;;;;
cost_datatype;PAF or Interpretation Manual;"Uncertainty that the cost relates to the habitat associated to it. If ""raw"", the habitat code or exact name is explicitely mentioned for the measure and associated costs in the PAF. If ""inferred"", the habitat code has been inferred based on a description in the PAF and a matching of this description with the Interpretation Manual of EU Habitats";drop-down menu;;;IE;Ireland;;;;1310;Salicornia and other annuals colonizing mud and sand;;;;;;;Macaronesian;;;;
cost_inferred_justification;PAF;Text substantiating the association of the cost to the habitat;text;;;IT;Italy;;;;1320;Spartina swards (Spartinion maritimae);;;;;;;;;;;
associated_sites;PAF;"When available, sites to which the measure is applied. When several sites, separate sites with ""|""";site code;;;LT;Lithuania;;;;1330;Atlantic salt meadows (Glauco-Puccinellietalia maritimae);;;;;;;;;;;
comments;;When applicable, additional comments;text;;;LU;Luxembourg;;;;1340;Inland salt meadows;;;;;;;;;;;
;;;;;;LV;Latvia;;;;1410;Mediterranean salt meadows (Juncetalia maritimi);;;;;;;;;;;
;;;;;;NL;Netherland;;;;1420;Mediterranean and thermo-Atlantic halophilous scrubs (Sarcocornetea fruticosi);;;;;;;;;;;
;;;;;;PL;Poland;;;;1430;Halo-nitrophilous scrubs (Pegano-Salsoletea);;;;;;;;;;;
;;;;;;PT;Portugal;;;;1510;Mediterranean salt steppes (Limonietalia);;;;;;;;;;;
;;;;;;RO;Romania;;;;1520;Iberian gypsum vegetation (Gypsophiletalia);;;;;;;;;;;
;;;;;;SE;Sweden;;;;1530;Pannonic salt steppes and salt marshes;;;;;;;;;;;
;;;;;;SI;Slovenia;;;;1610;Baltic esker islands with sandy, rocky and shingle beach vegetation and sublittoral vegetation;;;;;;;;;;;
;;;;;;SK;Slovakia;;;;1620;Boreal Baltic islets and small islands;;;;;;;;;;;
;;;;;;;;;;;1630;Boreal Baltic coastal meadows;;;;;;;;;;;
