SITECODE,End year,Start year,Summer only,EVI score,Number of images
EE0060271,2005,2003,True,0.25228378810165114,33
EE0010132,2004,2002,True,0.5701985978970231,51
EE0010122,2005,2003,True,0.35258829593549545,26
EE0010123,2006,2004,True,0.43185287895740904,41
EE0010138,2005,2003,True,0.46645935785312126,34
EE0010140,2009,2007,True,0.4789829275078758,41
EE0010190,2009,2007,True,0.6720442798755726,27
EE0010142,2005,2003,True,0.45621154003855957,34
EE0010152,2005,2003,True,0.570975915213658,26
EE0020324,2007,2005,True,0.4301355073716808,23
EE0020317,2006,2004,True,0.5276955774873318,38
EE0020319,2006,2004,True,0.4813798057715886,25
EE0040207,2006,2004,True,0.5965390732909813,18
EE0040002,2010,2008,True,0.02759522361241351,55
EE0040213,2007,2005,True,0.41525429236364986,32
EE0040318,2006,2004,True,0.44947032089872996,29
EE0040387,2009,2007,True,0.42255004993165973,20
EE0040488,2006,2004,True,0.7275581647229861,18
EE0060213,2005,2003,True,0.493618633775325,24
EE0060218,2005,2003,True,0.5511383879576549,41
EE0060223,2006,2004,True,0.5702384132976573,33
EE0070123,2005,2003,True,0.4208393848695686,31
EE0080316,2006,2004,True,0.532259485621939,21
EE0080421,2005,2003,True,0.5222414469654323,25
EE0080520,2006,2004,True,0.6474514959546487,32
EE0070103,2007,2005,True,0.413870633946601,47
EE0070110,2007,2005,True,0.5343589938561859,44
EE0070109,2004,2002,True,0.38368091096749635,49
EE0070112,2007,2005,True,0.5000242169822637,37
EE0080608,2005,2003,True,0.5558591238348585,25
SE0410235,2011,2009,True,0.7277303595616086,21
SE0510110,2011,2009,True,0.8337007967702409,22
SE0540162,2011,2009,True,0.6850086175241505,23
SE0620025,2011,2009,True,0.3447222116614801,32
SE0530211,2011,2009,True,0.7106139826265808,22
SE0330260,2011,2009,True,0.5458038153692387,33
SE0420326,2014,2012,True,0.7901269963231685,38
SE0330124,2011,2009,True,0.5841316134178955,32
SE0310505,2011,2009,True,0.731659430847264,23
SE0530099,2011,2009,True,0.4943824243478704,38
SE0530102,2011,2009,True,0.6576506780194129,22
IE0000090,2019,2017,True,0.5381838089949454,40
IE0000174,2019,2017,True,0.7968314750558686,38
IE0000733,2019,2017,True,0.7422675926635667,43
IE0001312,2019,2017,True,0.4192593246239064,38
SE0220126,2011,2009,True,0.48373093829887487,20
SE0220129,2011,2009,True,0.04005431001170793,20
SE0220130,2011,2009,True,0.684832963234616,20
IE0001818,2017,2015,True,0.4642586914933796,70
IE0001898,2019,2017,True,0.7191817287422946,37
SE0310806,2014,2012,True,0.62446659300062,65
SE0320014,2011,2009,True,0.16369850409062892,47
IE0002280,2016,2014,True,0.4638034930857275,40
SI3000138,2012,2010,True,0.7654996286777987,43
IE0000108,2019,2017,True,0.5109651303615647,40
IE0000163,2018,2016,True,0.3741740643538151,36
IE0000030,2016,2014,True,0.8137986370744715,37
SI3000033,2012,2010,True,0.8053318494286369,26
IE0001190,2019,2017,True,0.27704703995841184,54
SI3000120,2012,2010,True,0.5712190725612856,38
SI3000129,2012,2010,True,0.5592995671579863,33
SI3000126,2012,2010,True,0.6924378465214819,38
SI3000181,2012,2010,True,0.650937275213412,31
SI3000183,2012,2010,True,0.6032485083266952,36
SI3000184,2012,2010,True,0.5858510157026632,38
SI3000275,2012,2010,True,0.6537732227281768,38
SI3000261,2012,2010,True,0.5722580111166362,38
SI3000267,2012,2010,True,0.7193010547960895,43
SI3000270,2012,2010,True,0.5291305072081525,43
SI3000273,2012,2010,True,0.7743341013434055,43
SI3000264,2012,2010,True,0.43328129924180137,38
SI3000268,2012,2010,True,0.6466589141113924,43
SI3000274,2012,2010,True,0.7051371811231019,43
SI3000276,2012,2010,True,0.6078689864363161,60
SI3000279,2012,2010,True,0.7543727398159781,22
SI3000288,2015,2013,True,0.6312751046691717,45
SI3000303,2015,2013,True,0.6969244417038125,47
SI3000262,2012,2010,True,0.516499224297037,38
SI3000263,2012,2010,True,0.643348095570751,70
SI3000271,2012,2010,True,0.6495303678973708,38
SI3000225,2012,2010,True,0.6551501012729358,38
SI3000226,2012,2010,True,0.6453730246808213,38
SE0430024,2011,2009,True,0.6390895732583273,37
SE0510125,2011,2009,True,0.6354492612698118,38
SE0210367,2011,2009,True,0.36039556987879007,19
SE0210368,2011,2009,True,0.34502585902543226,19
SE0230216,2011,2009,True,0.4799448596372819,23
SE0410057,2011,2009,True,0.7506931876368353,24
SE0430022,2011,2009,True,0.7065921276383157,36
SE0510133,2011,2009,True,0.7031430308133039,27
SE0520025,2011,2009,True,0.20213981799177844,37
SE0530039,2011,2009,True,0.6008706988866671,27
SE0530042,2011,2009,True,0.3703796029869713,27
SE0630238,2011,2009,True,0.5146417049597405,31
LV0534000,2004,2002,True,0.47143040090548755,26
FI0100002,2015,2013,True,0.26804785124358604,54
FI0414006,2015,2013,True,0.34156923943974027,63
FI1200401,2015,2013,True,0.4037452588893219,65
FI1300211,2015,2013,True,0.2691399689857084,70
FI1301104,2015,2013,True,0.3968630601614887,70
FI0416001,2015,2013,True,0.45941456911510725,70
NL1000015,2013,2011,True,0.1282975076062023,24
NL1000024,2013,2011,True,0.3858567650740688,30
NL1000029,2013,2011,True,0.5213498612955813,31
NL2003045,2013,2011,True,0.6761142449249807,30
NL2011015,2013,2011,True,0.649297609631132,28
NL3000040,2013,2011,True,0.35679621482696466,24
NL3000070,2013,2011,True,0.481087637295717,28
NL3000401,2013,2011,True,0.5207633232236488,30
NL3004007,2013,2011,True,0.6470103878091931,25
LV0535700,2004,2002,True,0.5433470992695557,23
NL9801019,2013,2011,True,0.5404610474700294,51
NL9801035,2013,2011,True,0.5683754070900411,30
NL9801041,2015,2013,True,0.6987513917745944,61
NL9801055,2013,2011,True,0.46252775658953527,24
NL9801021,2013,2011,True,0.6606428383943779,47
NL9801040,2013,2011,True,0.7379381590693135,45
NL9801072,2015,2013,True,0.6211584751653552,38
NL9801064,2013,2011,True,0.6447561224183183,45
LV0533900,2004,2002,True,0.5737914127031603,23
NL9803030,2013,2011,True,0.5226239380492305,35
NL9803039,2013,2011,True,0.5962368149024854,30
LV0533600,2004,2002,True,0.6873385018097843,23
FI1302001,2015,2013,True,0.35302241435339865,70
SE0820287,2009,2007,True,0.41825164804771997,46
SE0720262,2009,2007,True,0.32317118206381457,28
SE0620232,2011,2009,True,0.5241073993311655,31
SE0620236,2011,2009,True,0.5264728084391648,24
SE0610225,2011,2009,True,0.3980317453236012,26
SE0620091,2011,2009,True,0.3990767752387237,34
SE0540323,2011,2009,True,0.6880817001378898,23
SE0430023,2011,2009,True,0.7295971230302163,35
SE0320114,2011,2009,True,0.3327352369777906,34
SE0320115,2011,2009,True,0.07855313592452215,34
SE0330155,2011,2009,True,0.6923277761121741,21
SE0230324,2011,2009,True,0.7259766646791794,23
SE0510123,2011,2009,True,0.5301660569193236,34
SI3000188,2012,2010,True,0.7180752594327985,22
SI3000191,2012,2010,True,0.7033902004534618,43
SI3000051,2012,2010,True,0.680661240384214,43
SI3000075,2012,2010,True,0.6374878940435852,65
SI3000057,2012,2010,True,0.6647967744060331,22
SI3000070,2012,2010,True,0.5771541866930662,53
SE0210304,2011,2009,True,0.8028676442451048,23
SE0330139,2011,2009,True,0.7534604573505131,30
SE0430031,2011,2009,True,0.7280901131194385,37
SE0510139,2011,2009,True,0.7178093093549229,38
SE0510137,2011,2009,True,0.7701831206328741,38
SE0510146,2011,2009,True,0.5801954775760392,22
SE0320140,2011,2009,True,0.6643475692589232,23
SI3000215,2012,2010,True,0.6315308189838086,64
SE0330157,2011,2009,True,0.6779561271907243,21
SI3000195,2012,2010,True,0.6148811258407353,21
SE0210037,2011,2009,True,0.4293229857652113,27
SE0310533,2011,2009,True,0.7061859204292849,34
SE0320150,2011,2009,True,0.7215014301586656,35
SE0330142,2011,2009,True,0.7881369969145477,31
SI3000205,2012,2010,True,0.6794404041895651,38
SI3000214,2012,2010,True,0.6602414445847816,43
SI3000221,2012,2010,True,0.6370825696145974,70
SI3000232,2012,2010,True,0.6110269807799253,38
SI3000237,2012,2010,True,0.5897774624375064,38
SI3000253,2012,2010,True,0.48884330473095955,55
SI3000255,2012,2010,True,0.6523245793337527,38
SE0430117,2011,2009,True,0.7559669370932578,25
SE0510147,2011,2009,True,0.753637317625245,22
SE0420107,2011,2009,True,0.6258445077523539,24
SE0420138,2011,2009,True,0.23280883062135443,24
SE0420135,2011,2009,True,0.7233312143398248,24
SE0430135,2011,2009,True,0.7016436900669705,37
SE0430140,2011,2009,True,0.7355010187802129,24
SE0230067,2011,2009,True,0.26090897716373274,35
SE0230055,2011,2009,True,-0.023824892125464736,29
SE0210161,2011,2009,True,0.5802895941231082,17
SI3000108,2012,2010,True,0.4792380263228594,38
SI3000110,2012,2010,True,0.6265209506559433,38
SI3000118,2012,2010,True,0.7339746227757589,43
SI3000119,2012,2010,True,0.5829792730491986,38
SI3000337,2015,2013,True,0.5797327459671713,65
SE0230152,2011,2009,True,0.6339238735040387,23
SE0320207,2011,2009,True,0.6068215873973994,35
SE0330156,2011,2009,True,0.7252701836226757,21
SE0420151,2011,2009,True,0.6809062076865678,24
SE0430142,2011,2009,True,0.6928937653392112,25
SE0710202,2011,2009,True,0.5168724041564677,35
FI1400015,2015,2013,True,0.07641825648727922,40
SE0420150,2011,2009,True,0.6649983117907311,37
SE0430133,2011,2009,True,0.4489160648726452,24
SE0530145,2011,2009,True,0.43647641105714596,38
SE0410010,2011,2009,True,0.6773643772972716,24
